,_id,author,sentiment,time,tweet,url,a_id,title,date_written,org,t_id,candidates
18,700450466144997376,103576819,Neutral,2016-02-18 00:00:00,"Fox News: Pope, Trump spar whether wall 'not Christian' — yet Vatican has its walls https://t.co/U0Xm4Mibos",http://www.foxnews.com/world/2016/02/18/pope-tells-trump-building-walls-not-christian-on-way-back-to-walled-in-vatican.html,1271ccab057f8528ea327a4349bb678e,"Pope, Trump spar whether wall 'not Christian' &#8212; yet Vatican has its walls",2016-02-18 20:50:20,fox,700450466144997376,10000
59,696265853617082368,103576819,Neutral,2016-02-07 00:00:00,CNN: 5 takeaways from the GOP debate https://t.co/boXQrscxeW https://t.co/bLWpvSBC9W,http://www.cnn.com/2016/02/07/politics/republican-debate-takeaways/index.html,a3c071fa13dc3fd435fca037eff30e82,5 takeaways from the Republican debate,2016-02-07 05:35:30,cnn,696265853617082368,10000
64,709545750321999872,266876176,Positive,2016-03-15 00:00:00,Rubio PAC winding down TV ads: The high-spending super PAC supporting Republican presid... https://t.co/NMjXej3cIH https://t.co/pm97olizVH,http://www.cnn.com/2016/03/14/politics/marco-rubio-florida-advertising/index.html,27dab94f0179ddeb225881ba76fdd163,Rubio TV ads gone after Florida,2016-03-14 21:40:34,cnn,709545750321999872,10000
85,696424316028608512,266876176,Positive,2016-02-07 00:00:00,Trump Leads GOP by Wide Margin in Poll: Donald Trump leads the crowded GOP presidential... https://t.co/LIvsCoOQkH https://t.co/pm97olizVH,http://blogs.wsj.com/washwire/2016/02/07/trump-leads-gop-by-wide-margin-in-poll/,b25edb149a583365d3f4398c658010d3,Trump Leads GOP by Wide Margin in Poll,2016-02-07 19:28:38,wsj,696424316028608512,10000
134,696103165851074560,266876176,Neutral,2016-02-06 00:00:00,Rubio targeted in New Hampshire: When Marco Rubio blazed out of Iowa riding high on his... https://t.co/LeMw3oRhFk https://t.co/pm97olizVH,http://www.cnn.com/2016/02/06/politics/new-hampshire-primary-republican-establishment/index.html,ccbe55a9eeb6ada55cb10e66c7b93752,New Hampshire primary: The GOP establishment's bloodbath,2016-02-06 20:08:26,cnn,696103165851074560,10000
136,697614009898369024,17544215,Neutral,2016-02-11 00:00:00,Cruz campaign aide: Trump running 'the Seinfeld candidacy' https://t.co/Q9UakOR9ow,http://www.cnn.com/2016/02/10/politics/ted-cruz-donald-trump-seinfeld/index.html,cf430b05f3af73212921ff10b2b0b895,Cruz campaign aide: Trump running 'the Seinfeld candidacy',2016-02-11 02:22:19,cnn,697614009898369024,10000
167,696073114174656512,17544215,Positive,2016-02-06 00:00:00,"Commercial-free 'State of the Union' to feature Trump, Clinton, Sanders https://t.co/KYeNXYDq2o",http://www.cnn.com/2016/02/06/politics/state-of-the-union-donald-trump-hillary-clinton-bernie-sanders/index.html,bac364a0ad2aad2163b581ba510bda90,"'State of the Union' to host Trump, Clinton, Sanders",2016-02-06 19:03:07,cnn,696073114174656512,10000
290,697146840865607680,711881270,Negative,2016-02-09 00:00:00,"Poll: Canadians are terrified of Trump: Canadians seem worried about their neighbors to the south, if the resu... https://t.co/Hmuu93iIIS",http://www.politico.com/story/2016/02/does-canada-like-trump-219017,f8b5f1a700777c80f22a5c9064e71552,Poll: Canadians are terrified of Trump,2016-02-09 19:43:35,politico,697146840865607680,10000
383,692906041600675840,17544215,Neutral,2016-01-29 00:00:00,"Comparing it to the Oscars, Trump basks in his spotlight https://t.co/Pdw8FIuSDi",http://www.cnn.com/2016/01/28/politics/donald-trump-2016-election-rally-gop-debate/index.html,08d5d228cfbbcab2398b31a5acfabc25,Trump basks in his spotlight,2016-01-29 02:40:40,cnn,692906041600675840,10000
417,701998407259324417,103576819,Neutral,2016-02-23 00:00:00,CNN: Donald Trump: Ted Cruz 'is sick' https://t.co/KRw4RV1AYA https://t.co/ZbTV0pz4wL,http://www.cnn.com/2016/02/22/politics/donald-trump-nevada-rally/index.html,67540f6c51b41037a7a661045dac466d,Donald Trump: Ted Cruz 'is sick',2016-02-23 04:57:17,cnn,701998407259324417,10000
442,699341548446679040,24481831,Neutral,2016-02-15 00:00:00,"Ted Cruz, Marco Rubio feud heats up in South Carolina https://t.co/yB0yD1uGYA",http://www.cnn.com/2016/02/15/politics/ted-cruz-marco-rubio-feud-liar-south-carolina/index.html,162bea4a4b0b1b9c7b152503a1a42df2,Cruz-Rubio feud heats up in South Carolina,2016-02-15 20:24:48,cnn,699341548446679040,10000
459,686295976617852929,24481831,Neutral,2016-01-10 00:00:00,Gabby Giffords and Mark Kelly endorse Hillary Clinton https://t.co/5qYvrca7QJ,http://www.cnn.com/2016/01/10/politics/hillary-clinton-gabby-giffords-mark-kelly-endorsement/index.html,387d05c44d826f1e4b01c817230c2983,Gabby Giffords and Mark Kelly endorse Clinton,2016-01-10 20:47:09,cnn,686295976617852929,10000
570,685902839504330753,24481831,Neutral,2016-01-09 00:00:00,Marco Rubio heckled over immigration during poverty forum https://t.co/vp4zjWzdc0,http://www.cnn.com/2016/01/09/politics/marco-rubio-immigration-protesters-jack-kemp-poverty-forum/index.html,11c5e408d786389921e598f963f9de0b,Rubio heckled over immigration during poverty forum,2016-01-09 18:35:53,cnn,685902839504330753,10000
574,691732610687594497,16911584,Positive,2016-01-25 00:00:00,“..likely effect of switching to single payer under Sanders’ plan would be to destabilize the health-care industry.” https://t.co/uI4fPTTVyK,http://www.politico.com/magazine/story/2016/01/bernie-sanders-hillary-clinton-2016-213560,5e53cdf740095d115eb75f2d13deedf2,I Get Sanders’ Appeal. But He’s Not a Credible President.,2016-01-25 10:19:59,politico,691732610687594497,10000
583,703614557978128385,17544215,Positive,2016-02-27 00:00:00,New York Daily News blasts Christie's Trump endorsement https://t.co/XL9axseO2k,http://www.cnn.com/2016/02/27/politics/new-york-daily-news-chris-christie-donald-trump-cover/index.html,16c9656a38379943380a32d4ef01ab53,New York Daily News blasts Chris Christie's Donald Trump endorsement,2016-02-27 15:26:16,cnn,703614557978128385,10000
600,694736438710177793,24481831,Positive,2016-02-03 00:00:00,Marco Rubio picks up endorsement of veteran New Hampshire GOP activist https://t.co/6MgkMT8A8I,http://www.cnn.com/2016/02/02/politics/marco-rubio-susan-duprey-new-hampshire-endorsement/index.html,b55cf9bc724f6153433b691a37eb8cc7,Marco Rubio picks up endorsement of veteran New Hampshire GOP activist,2016-02-03 04:05:38,cnn,694736438710177793,10000
606,699312532108914689,266876176,Neutral,2016-02-15 00:00:00,"43 comes to Jeb Bush's rescue: Jeb Bush, who has struggled with the political baggage a... https://t.co/GmMem71Js9 https://t.co/pm97olizVH",http://www.cnn.com/2016/02/15/politics/jeb-bush-george-w-bush/index.html,107ad82781e8a902df4577129e181e5e,Bush family values: 43 comes to Jeb's rescue,2016-02-15 11:28:30,cnn,699312532108914689,10000
